p_set,p,q,status,snapshot,generator
0.014057846583247297,0.014057846583247297,0.0,,1997-11-03 00:25:00,G1-RM3-60
,0.0,43.46303402534616,,1997-11-03 00:25:00,G2
0.014057846583247297,0.014057846583247297,0.0,,1997-11-03 00:25:00,G2-RM3-60
,0.0,54.79731091710585,,1997-11-03 00:25:00,G3
0.014057846583247297,0.014057846583247297,0.0,,1997-11-03 00:25:00,G3-RM3-60
,0.0,23.60014627134694,,1997-11-03 00:25:00,G4
0.014057846583247297,0.014057846583247297,0.0,,1997-11-03 00:25:00,G4-RM3-60
,0.0,17.80580695858972,,1997-11-03 00:25:00,G5
0.014057846583247297,0.014057846583247297,0.0,,1997-11-03 00:25:00,G5-RM3-60
0.014057846583247297,0.014057846583247297,0.0,,1997-11-03 00:25:00,G6-RM3-60
0.014057846583247297,0.014057846583247297,0.0,,1997-11-03 00:25:00,G7-RM3-60
,263.1870810352478,118.55018164643306,,1997-11-03 00:30:00,G0
0.017805241566785993,0.017805241566785993,-119.89126509519116,,1997-11-03 00:30:00,G0-RM3-60
,40.0,65.42483523818828,,1997-11-03 00:30:00,G1
0.017805241566785993,0.017805241566785993,0.0,,1997-11-03 00:30:00,G1-RM3-60
,0.0,43.47158025970942,,1997-11-03 00:30:00,G2
0.017805241566785993,0.017805241566785993,0.0,,1997-11-03 00:30:00,G2-RM3-60
,0.0,54.80633346529095,,1997-11-03 00:30:00,G3
0.017805241566785993,0.017805241566785993,0.0,,1997-11-03 00:30:00,G3-RM3-60
,0.0,23.60142396116616,,1997-11-03 00:30:00,G4
0.017805241566785993,0.017805241566785993,0.0,,1997-11-03 00:30:00,G4-RM3-60
,0.0,17.807524187767292,,1997-11-03 00:30:00,G5
0.017805241566785993,0.017805241566785993,0.0,,1997-11-03 00:30:00,G5-RM3-60
0.017805241566785993,0.017805241566785993,0.0,,1997-11-03 00:30:00,G6-RM3-60
0.017805241566785993,0.017805241566785993,0.0,,1997-11-03 00:30:00,G7-RM3-60
,263.2576022449455,118.53819880633625,,1997-11-03 00:35:00,G0
0.01652446607677622,0.01652446607677622,-119.88933680157086,,1997-11-03 00:35:00,G0-RM3-60
,40.0,65.44035039405125,,1997-11-03 00:35:00,G1
0.01652446607677622,0.01652446607677622,0.0,,1997-11-03 00:35:00,G1-RM3-60
,0.0,43.48090610108798,,1997-11-03 00:35:00,G2
0.01652446607677622,0.01652446607677622,0.0,,1997-11-03 00:35:00,G2-RM3-60
,0.0,54.816179309071195,,1997-11-03 00:35:00,G3
0.01652446607677622,0.01652446607677622,0.0,,1997-11-03 00:35:00,G3-RM3-60
,0.0,23.60281828934651,,1997-11-03 00:35:00,G4
0.01652446607677622,0.01652446607677622,0.0,,1997-11-03 00:35:00,G4-RM3-60
,0.0,17.809398251210336,,1997-11-03 00:35:00,G5
0.01652446607677622,0.01652446607677622,0.0,,1997-11-03 00:35:00,G5-RM3-60
0.01652446607677622,0.01652446607677622,0.0,,1997-11-03 00:35:00,G6-RM3-60
0.01652446607677622,0.01652446607677622,0.0,,1997-11-03 00:35:00,G7-RM3-60
,263.29442847926674,118.53362068056293,,1997-11-03 00:40:00,G0
0.020150470111387674,0.020150470111387674,-119.89479585654344,,1997-11-03 00:40:00,G0-RM3-60
,40.0,65.45725209154335,,1997-11-03 00:40:00,G1
0.020150470111387674,0.020150470111387674,0.0,,1997-11-03 00:40:00,G1-RM3-60
,0.0,43.49106442519897,,1997-11-03 00:40:00,G2
0.020150470111387674,0.020150470111387674,0.0,,1997-11-03 00:40:00,G2-RM3-60
,0.0,54.82690433700479,,1997-11-03 00:40:00,G3
0.020150470111387674,0.020150470111387674,0.0,,1997-11-03 00:40:00,G3-RM3-60
,0.0,23.60433718437264,,1997-11-03 00:40:00,G4
0.020150470111387674,0.020150470111387674,0.0,,1997-11-03 00:40:00,G4-RM3-60
,0.0,17.811439824532915,,1997-11-03 00:40:00,G5
0.020150470111387674,0.020150470111387674,0.0,,1997-11-03 00:40:00,G5-RM3-60
0.020150470111387674,0.020150470111387674,0.0,,1997-11-03 00:40:00,G6-RM3-60
0.020150470111387674,0.020150470111387674,0.0,,1997-11-03 00:40:00,G7-RM3-60
,263.3505286478496,118.5252431527488,,1997-11-03 00:45:00,G0
0.02207600158187576,0.02207600158187576,-119.897694627041,,1997-11-03 00:45:00,G0-RM3-60
,40.0,65.4756312584314,,1997-11-03 00:45:00,G1
0.02207600158187576,0.02207600158187576,0.0,,1997-11-03 00:45:00,G1-RM3-60
,0.0,43.50210963301162,,1997-11-03 00:45:00,G2
0.02207600158187576,0.02207600158187576,0.0,,1997-11-03 00:45:00,G2-RM3-60
,0.0,54.83856605988713,,1997-11-03 00:45:00,G3
0.02207600158187576,0.02207600158187576,0.0,,1997-11-03 00:45:00,G3-RM3-60
,0.0,23.605988807008092,,1997-11-03 00:45:00,G4
0.02207600158187576,0.02207600158187576,0.0,,1997-11-03 00:45:00,G4-RM3-60
,0.0,17.81365989910163,,1997-11-03 00:45:00,G5
0.02207600158187576,0.02207600158187576,0.0,,1997-11-03 00:45:00,G5-RM3-60
0.02207600158187576,0.02207600158187576,0.0,,1997-11-03 00:45:00,G6-RM3-60
0.02207600158187576,0.02207600158187576,0.0,,1997-11-03 00:45:00,G7-RM3-60
,263.4652525111819,118.50474722934544,,1997-11-03 00:50:00,G0
0.017404990320729573,0.017404990320729573,-119.89066249574292,,1997-11-03 00:50:00,G0-RM3-60
,40.0,65.495581110393,,1997-11-03 00:50:00,G1
0.017404990320729573,0.017404990320729573,0.0,,1997-11-03 00:50:00,G1-RM3-60
,0.0,43.5140974560362,,1997-11-03 00:50:00,G2
0.017404990320729573,0.017404990320729573,0.0,,1997-11-03 00:50:00,G2-RM3-60
,0.0,54.85122340670186,,1997-11-03 00:50:00,G3
0.017404990320729573,0.017404990320729573,0.0,,1997-11-03 00:50:00,G3-RM3-60
,0.0,23.607781521726576,,1997-11-03 00:50:00,G4
0.017404990320729573,0.017404990320729573,0.0,,1997-11-03 00:50:00,G4-RM3-60
,0.0,17.81606974409366,,1997-11-03 00:50:00,G5
0.017404990320729573,0.017404990320729573,0.0,,1997-11-03 00:50:00,G5-RM3-60
0.017404990320729573,0.017404990320729573,0.0,,1997-11-03 00:50:00,G6-RM3-60
0.017404990320729573,0.017404990320729573,0.0,,1997-11-03 00:50:00,G7-RM3-60
,263.5802262169252,118.48451989369207,,1997-11-03 00:55:00,G0
0.013513497925562666,0.013513497925562666,-119.88480337698196,,1997-11-03 00:55:00,G0-RM3-60
,40.0,65.51719678428944,,1997-11-03 00:55:00,G1
0.013513497925562666,0.013513497925562666,0.0,,1997-11-03 00:55:00,G1-RM3-60
,0.0,43.52708473049897,,1997-11-03 00:55:00,G2
0.013513497925562666,0.013513497925562666,0.0,,1997-11-03 00:55:00,G2-RM3-60
,0.0,54.86493648783714,,1997-11-03 00:55:00,G3
0.013513497925562666,0.013513497925562666,0.0,,1997-11-03 00:55:00,G3-RM3-60
,0.0,23.60972386352487,,1997-11-03 00:55:00,G4
0.013513497925562666,0.013513497925562666,0.0,,1997-11-03 00:55:00,G4-RM3-60
,0.0,17.81868086237508,,1997-11-03 00:55:00,G5
0.013513497925562666,0.013513497925562666,0.0,,1997-11-03 00:55:00,G5-RM3-60
0.013513497925562666,0.013513497925562666,0.0,,1997-11-03 00:55:00,G6-RM3-60
0.013513497925562666,0.013513497925562666,0.0,,1997-11-03 00:55:00,G7-RM3-60
,263.61861354865755,118.4808577654407,,1997-11-03 01:00:00,G0
0.0200964637333866,0.0200964637333866,-119.89471455149248,,1997-11-03 01:00:00,G0-RM3-60
,40.0,65.5405749184322,,1997-11-03 01:00:00,G1
0.0200964637333866,0.0200964637333866,0.0,,1997-11-03 01:00:00,G1-RM3-60
,0.0,43.54112913939038,,1997-11-03 01:00:00,G2
0.0200964637333866,0.0200964637333866,0.0,,1997-11-03 01:00:00,G2-RM3-60
,0.0,54.87976632446183,,1997-11-03 01:00:00,G3
0.0200964637333866,0.0200964637333866,0.0,,1997-11-03 01:00:00,G3-RM3-60
,0.0,23.611824499961585,,1997-11-03 01:00:00,G4
0.0200964637333866,0.0200964637333866,0.0,,1997-11-03 01:00:00,G4-RM3-60
,0.0,17.82150493998569,,1997-11-03 01:00:00,G5
0.0200964637333866,0.0200964637333866,0.0,,1997-11-03 01:00:00,G5-RM3-60
0.0200964637333866,0.0200964637333866,0.0,,1997-11-03 01:00:00,G6-RM3-60
0.0200964637333866,0.0200964637333866,0.0,,1997-11-03 01:00:00,G7-RM3-60
,263.7668563085411,118.45428155435383,,1997-11-03 01:05:00,G0
0.013789466423007274,0.013789466423007274,-119.88521889756099,,1997-11-03 01:05:00,G0-RM3-60
,40.0,65.56581317848094,,1997-11-03 01:05:00,G1
0.013789466423007274,0.013789466423007274,0.0,,1997-11-03 01:05:00,G1-RM3-60
,0.0,43.55628892160763,,1997-11-03 01:05:00,G2
0.013789466423007274,0.013789466423007274,0.0,,1997-11-03 01:05:00,G2-RM3-60
,0.0,54.89577454322315,,1997-11-03 01:05:00,G3
0.013789466423007274,0.013789466423007274,0.0,,1997-11-03 01:05:00,G3-RM3-60
,0.0,23.614092188299082,,1997-11-03 01:05:00,G4
0.013789466423007274,0.013789466423007274,0.0,,1997-11-03 01:05:00,G4-RM3-60
,0.0,17.824553789064613,,1997-11-03 01:05:00,G5
0.013789466423007274,0.013789466423007274,0.0,,1997-11-03 01:05:00,G5-RM3-60
0.013789466423007274,0.013789466423007274,0.0,,1997-11-03 01:05:00,G6-RM3-60
0.013789466423007274,0.013789466423007274,0.0,,1997-11-03 01:05:00,G7-RM3-60
,263.86843358299785,118.43797092357005,,1997-11-03 01:10:00,G0
