BUS_ID,TYPE,Pd,Qd,Pg,Qg,P,Q,V_PU,V_KV,BASE_KV,ANGLE_DEG,ANGLE_RAD,MISMATCH,timestamp
1,3,0.0,0.0,262.3865051269531,110.25392150878906,262.3865051269531,110.25392150878906,1.059999942779541,139.91998291015625,132.0,98.43160247802734,1.7179549932479858,1.547789725009352e-05,1997-11-03 00:00:00
2,2,21.700000762939453,12.700000762939453,40.0,50.0,18.299999237060547,37.29999923706055,1.0431376695632935,137.6941680908203,132.0,93.0797119140625,1.6245468854904175,0.011216901242733002,1997-11-03 00:00:00
3,1,2.4000000953674316,1.2000000476837158,0.0,0.0,-2.4000000953674316,-1.2000000476837158,1.020742416381836,134.73800659179688,132.0,90.89962768554688,1.5864973068237305,3.100954563706182e-05,1997-11-03 00:00:00
4,1,7.599999904632568,1.600000023841858,0.0,0.0,-7.599999904632568,-1.600000023841858,1.011765480041504,133.5530548095703,132.0,89.14752197265625,1.5559172630310059,0.0005054685170762241,1997-11-03 00:00:00
5,2,94.19999694824219,19.0,0.0,36.847721099853516,-94.19999694824219,17.847721099853516,1.0099999904632568,133.3199920654297,132.0,84.26587677001953,1.4707164764404297,0.0007092952728271484,1997-11-03 00:00:00
6,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0102579593658447,133.3540496826172,132.0,87.36701965332031,1.5248416662216187,0.000729994208086282,1997-11-03 00:00:00
7,1,22.799999237060547,10.899999618530273,0.0,0.0,-22.799999237060547,-10.899999618530273,1.0023775100708008,132.3138427734375,132.0,85.56652069091797,1.4934170246124268,5.6684428273001686e-05,1997-11-03 00:00:00
8,2,30.000001907348633,30.000001907348633,0.0,37.14216995239258,-30.000001907348633,7.142168045043945,1.0099999904632568,133.3199920654297,132.0,86.61833953857422,1.5117746591567993,7.750036456855014e-05,1997-11-03 00:00:00
9,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0509127378463745,1.0509127378463745,1.0,84.32270812988281,1.4717084169387817,2.9802322387695312e-06,1997-11-03 00:00:00
10,1,5.800000190734863,2.0,0.0,0.0,-5.800000190734863,-2.0,1.0451278686523438,34.489219665527344,33.0,82.73198699951172,1.443945050239563,3.725290298461914e-07,1997-11-03 00:00:00
11,2,0.0,0.0,0.0,16.171377182006836,0.0,16.171377182006836,1.0820000171661377,11.902000427246094,11.0,84.32270812988281,1.4717084169387817,4.07595290852214e-09,1997-11-03 00:00:00
12,1,11.199999809265137,7.500000476837158,0.0,0.0,-11.199999809265137,-7.500000476837158,1.0571199655532837,34.88496017456055,33.0,83.48833465576172,1.4571458101272583,2.1503670723177493e-05,1997-11-03 00:00:00
13,2,0.0,0.0,0.0,10.618209838867188,0.0,10.618209838867188,1.071000099182129,11.781000137329102,11.0,83.48833465576172,1.4571458101272583,4.027607580781023e-09,1997-11-03 00:00:00
14,1,6.199999809265137,1.600000023841858,0.0,0.0,-6.199999809265137,-1.600000023841858,1.0422812700271606,34.39528274536133,33.0,82.59619140625,1.441575050354004,8.330002287948446e-07,1997-11-03 00:00:00
15,1,8.199999809265137,2.5,0.0,0.0,-8.199999809265137,-2.5,1.0376830101013184,34.2435417175293,33.0,82.50425720214844,1.4399704933166504,4.165001143974223e-07,1997-11-03 00:00:00
16,1,3.5,1.7999999523162842,0.0,0.0,-3.5,-1.7999999523162842,1.0443906784057617,34.46489334106445,33.0,82.90530395507812,1.446969985961914,0.0,1997-11-03 00:00:00
