v_mag_pu,v_ang,p,q,snapshot,bus
1.06,0.0,262.76557961715787,118.6119586294163,1997-11-03 00:00:00,1
1.04313,-0.09369795219431216,18.3,52.5800570413742,1997-11-03 00:00:00,2
1.0156405103587913,-0.1305491657124658,-2.4,-1.2,1997-11-03 00:00:00,3
1.006415337448433,-0.16131292671982178,-7.6,-1.6,1997-11-03 00:00:00,4
1.01,-0.24811534443893948,-94.2,24.384517225005673,1997-11-03 00:00:00,5
1.005362399632374,-0.19232700301499284,0.0,0.0,1997-11-03 00:00:00,6
0.9985505386201227,-0.22416742977781745,-22.8,-10.9,1997-11-03 00:00:00,7
1.01,-0.20692495677619274,-30.0,24.714427851123897,1997-11-03 00:00:00,8
1.036654440528045,-0.244909320471622,0.0,0.0,1997-11-03 00:00:00,9
1.0184144489013724,-0.2729691577450102,-5.8,-2.0,1997-11-03 00:00:00,10
1.082,-0.244909320471622,0.0,23.58841122531514,1997-11-03 00:00:00,11
1.0477450485720323,-0.2641253229404656,-11.2,-7.5,1997-11-03 00:00:00,12
1.071,-0.26412532294046553,0.0,17.790037842395297,1997-11-03 00:00:00,13
1.030257183773135,-0.27971587107803597,-6.2,-1.6,1997-11-03 00:00:00,14
1.02332325580247,-0.28010059067887555,-8.2,-2.5,1997-11-03 00:00:00,15
1.0275811479974886,-0.27196539598867786,-3.5,-1.8,1997-11-03 00:00:00,16
1.01611460299545,-0.2768060680524289,-9.0,-5.8,1997-11-03 00:00:00,17
1.0092073590921515,-0.2901662861426182,-3.2,-0.9,1997-11-03 00:00:00,18
1.0040440471851197,-0.2927047552364324,-9.5,-3.4,1997-11-03 00:00:00,19
1.0068439091994448,-0.28878832895357703,-2.2,-0.7,1997-11-03 00:00:00,20
1.0057764858242695,-0.28083782506073146,-17.5,-11.2,1997-11-03 00:00:00,21
1.0063540727204001,-0.2804885064870751,0.0,0.0,1997-11-03 00:00:00,22
1.0074908785210142,-0.2853340012873113,-3.2,-1.6,1997-11-03 00:00:00,23
0.9949154995283076,-0.286103805128718,-8.7,-6.7,1997-11-03 00:00:00,24
0.9978518014884933,-0.28104246878901706,0.0,0.0,1997-11-03 00:00:00,25
0.9798153675163984,-0.2886611573836107,-3.5,-2.3,1997-11-03 00:00:00,26
1.0084365999564242,-0.27309347432743686,0.0,0.0,1997-11-03 00:00:00,27
1.000659506734509,-0.20311351912740072,0.0,0.0,1997-11-03 00:00:00,28
0.988273720044266,-0.29520869326625987,-2.4,-0.9,1997-11-03 00:00:00,29
0.9766131201816018,-0.31109798761775503,-10.6,-1.9,1997-11-03 00:00:00,30
1.0,0.011308208301481793,0.0,-119.86445333494571,1997-11-03 00:00:00,31
1.06,0.0,262.962805313783,118.58631751511862,1997-11-03 00:05:00,1
1.04313,-0.093826730929127,18.277792258517618,52.6650709781235,1997-11-03 00:05:00,2
1.015619259458179,-0.1307102087168189,-2.4024561557399866,-1.2,1997-11-03 00:05:00,3
1.0063931549162708,-0.16151307188340042,-7.607777826509958,-1.6,1997-11-03 00:05:00,4
1.01,-0.24841491790088352,-94.29640411279449,24.435649474395593,1997-11-03 00:05:00,5
1.0053472584754346,-0.19256451568259383,0.0,0.0,1997-11-03 00:05:00,6
0.998537482215615,-0.2244416982424857,-22.823333479529875,-10.9,1997-11-03 00:05:00,7
1.01,-0.20718072759558684,-30.030701946749836,24.76840152817104,1997-11-03 00:05:00,8
1.036639750833547,-0.24520374341465964,0.0,0.0,1997-11-03 00:05:00,9
1.0183948883707705,-0.2732940465270762,-5.805935709704968,-2.0,1997-11-03 00:05:00,10
1.082,-0.24520374341465961,0.0,23.596052691395304,1997-11-03 00:05:00,11
1.0477316267169896,-0.26443281396137264,-11.211462060119938,-7.5,1997-11-03 00:05:00,12
1.071,-0.26443281396137264,0.0,17.80030556150276,1997-11-03 00:05:00,13
1.030234224638053,-0.28004280638430773,-6.206345068994966,-1.6,1997-11-03 00:05:00,14
1.0232973267889132,-0.28043088923628356,-8.208391865444954,-2.5,1997-11-03 00:05:00,15
1.0275610160424078,-0.2722871931872554,-3.503581893787481,-1.8,1997-11-03 00:05:00,16
1.0160929431211345,-0.2771353621038741,-9.00921058402495,-5.8,1997-11-03 00:05:00,17
1.0091756015778777,-0.2905106572452666,-3.2032748743199826,-0.9,1997-11-03 00:05:00,18
1.0040110840152345,-0.2930532521910657,-9.509722283137448,-3.4,1997-11-03 00:05:00,19
1.0068137981541092,-0.2891321326243424,-2.2022514760949883,-0.7,1997-11-03 00:05:00,20
1.005750626027268,-0.281174507676194,-17.517909468937404,-11.2,1997-11-03 00:05:00,21
1.0063283402236165,-0.28082463972293903,0.0,0.0,1997-11-03 00:05:00,22
1.0074596512414837,-0.28567457699671606,-3.2032748743199826,-1.6,1997-11-03 00:05:00,23
