Time Step,P Gen (No WEC),P Gen (With WEC)
-1.0,64.0,64.0
0.0,64.0,64.0
450.0,64.0,64.0
750.0,64.0,64.0
1050.0,64.0,64.0
1350.0,64.0,64.0
1650.0,64.0,64.0
1950.0,64.0,64.0
2250.0,64.0,64.0
2550.0,64.0,64.0
2850.0,64.0,64.0
3150.0,64.0,64.0
3450.0,64.0,64.0
3750.0,64.0,64.0
4050.0,64.0,64.0
4350.0,64.0,64.0
4650.0,64.0,64.0
4950.0,64.0,64.0
5250.0,64.0,64.0
5550.0,64.0,64.0
5850.0,64.0,64.0
6150.0,64.0,64.0
6450.0,64.0,64.0
6750.0,64.0,64.0
7050.0,64.0,64.0
7350.0,64.0,64.0
7650.0,64.0,64.0
7950.0,64.0,64.0
8250.0,64.0,64.0
8550.0,64.0,64.0
8850.0,64.0,64.0
9150.0,64.0,64.0
9450.0,64.0,64.0
9750.0,64.0,64.0
10050.0,64.0,64.0
10350.0,64.0,64.0
10650.0,64.0,64.0
10950.0,64.0,64.0
11250.0,64.0,64.0
11550.0,64.0,64.0
11850.0,64.0,64.0
12150.0,64.0,64.0
12450.0,64.0,64.0
12750.0,64.0,64.0
13050.0,64.0,64.0
13350.0,64.0,64.0
13650.0,64.0,64.0
13950.0,64.0,64.0
14250.0,64.0,64.0
14550.0,64.0,64.0
14850.0,64.0,64.0
15150.0,64.0,64.0
15450.0,64.0,64.0
15750.0,64.0,64.0
16050.0,64.0,64.0
16350.0,64.0,64.0
16650.0,64.0,64.0
16950.0,64.0,64.0
17250.0,64.0,64.0
17550.0,64.0,64.0
17850.0,64.0,64.0
18150.0,64.0,64.0
18450.0,64.0,64.0
18750.0,64.0,64.0
19050.0,64.0,64.0
19350.0,64.0,64.0
19650.0,64.0,64.0
19950.0,64.0,64.0
20250.0,64.0,64.0
20550.0,64.0,64.0
20850.0,64.0,64.0
21150.0,64.0,64.0
21450.0,64.0,64.0
21750.0,64.0,64.0
22050.0,64.0,64.0
22350.0,64.0,64.0
22650.0,64.0,64.0
22950.0,64.0,64.0
23250.0,64.0,64.0
23550.0,64.0,64.0
23850.0,64.0,64.0
24150.0,64.0,64.0
24450.0,64.0,64.0
24750.0,64.0,64.0
25050.0,64.0,64.0
25350.0,64.0,64.0
25650.0,64.0,64.0
25950.0,64.0,64.0
26250.0,64.0,64.0
26550.0,64.0,64.0
26850.0,64.0,64.0
27150.0,64.0,64.0
27450.0,64.0,64.0
27750.0,64.0,64.0
28050.0,64.0,64.0
28350.0,64.0,64.0
28650.0,64.0,64.0
28950.0,64.0,64.0
29250.0,64.0,64.0
29550.0,64.0,64.0
29850.0,64.0,64.0
30150.0,64.0,64.0
30450.0,64.0,64.0
30750.0,64.0,64.0
31050.0,64.0,64.0
31350.0,64.0,64.0
31650.0,64.0,64.0
31950.0,64.0,64.0
32250.0,64.0,64.0
32550.0,64.0,64.0
32850.0,64.0,64.0
33150.0,64.0,64.0
33450.0,64.0,64.0
33750.0,64.0,64.0
34050.0,64.0,64.0
34350.0,64.0,64.0
34650.0,64.0,64.0
34950.0,64.0,64.0
35250.0,64.0,64.0
35550.0,64.0,64.0
35850.0,64.0,64.0
36150.0,64.0,64.0
36450.0,64.0,64.0
36750.0,64.0,64.0
37050.0,64.0,64.0
37350.0,64.0,64.0
37650.0,64.0,64.0
37950.0,64.0,64.0
38250.0,64.0,64.0
38550.0,64.0,64.0
38850.0,64.0,64.0
39150.0,64.0,64.0
39450.0,64.0,64.0
39750.0,64.0,64.0
40050.0,64.0,64.0
40350.0,64.0,64.0
40650.0,64.0,64.0
40950.0,64.0,64.0
41250.0,64.0,64.0
41550.0,64.0,64.0
41850.0,64.0,64.0
42150.0,64.0,64.0
42450.0,64.0,64.0
42750.0,64.0,64.0
43050.0,64.0,64.0
