Time Step,P Gen (No WEC),P Gen (With WEC)
-1.0,35.93006896972656,33.93822479248047
0.0,35.93006896972656,33.93822479248047
450.0,36.41862106323242,34.279563903808594
750.0,37.99160385131836,35.86133575439453
1050.0,38.392578125,36.264617919921875
1350.0,37.84113693237305,35.692134857177734
1650.0,38.620792388916016,36.534446716308594
1950.0,39.210758209228516,37.0886344909668
2250.0,38.652889251708984,36.534358978271484
2550.0,39.50502395629883,37.37820816040039
2850.0,38.26865768432617,36.09356689453125
3150.0,39.084510803222656,36.973388671875
3450.0,40.604026794433594,38.52927780151367
3750.0,40.970699310302734,38.81599426269531
4050.0,40.953575134277344,38.86579895019531
4350.0,42.30549240112305,40.229949951171875
4650.0,41.547386169433594,39.41136932373047
4950.0,41.384552001953125,39.2523307800293
5250.0,42.752479553222656,40.64019012451172
5550.0,45.02264404296875,42.944698333740234
5850.0,45.58182907104492,43.50967788696289
6150.0,46.46062469482422,44.414493560791016
6450.0,45.73579788208008,43.651702880859375
6750.0,47.13809585571289,45.04100799560547
7050.0,47.65974807739258,45.573909759521484
7350.0,48.07693862915039,46.00583267211914
7650.0,48.810787200927734,46.71952819824219
7950.0,48.55372619628906,46.50297546386719
8250.0,52.377532958984375,50.32666778564453
8550.0,53.360809326171875,51.31314468383789
8850.0,52.917869567871094,50.876731872558594
9150.0,54.94272232055664,52.899879455566406
9450.0,55.25593185424805,53.21414566040039
9750.0,57.62528610229492,55.59672546386719
10050.0,60.545867919921875,58.51549530029297
10350.0,61.21452331542969,59.18180847167969
10650.0,62.94553756713867,60.9599723815918
10950.0,64.29222869873047,62.29854965209961
11250.0,63.492862701416016,61.49619674682617
11550.0,65.43379974365234,63.4298095703125
11850.0,67.86112213134766,65.88639831542969
12150.0,69.69002532958984,67.73347473144531
12450.0,72.06095886230469,70.0802230834961
12750.0,72.9563980102539,71.04460906982422
13050.0,74.53538513183594,72.60285949707031
13350.0,75.91950988769531,73.97097778320312
13650.0,77.51754760742188,75.54657745361328
13950.0,81.19093322753906,79.22550201416016
