Time Step,MISMATCH (No WEC),MISMATCH (With WEC)
28350.0,0.0,1.1920928955078125e-05
28650.0,5.9604644775390625e-06,2.9802322387695312e-06
28950.0,5.9604644775390625e-06,1.81280447577592e-05
29250.0,2.9802322387695312e-06,5.9604644775390625e-06
29550.0,1.1920928955078125e-05,2.9802322387695312e-06
29850.0,0.0,2.9802322387695312e-06
30150.0,5.9604644775390625e-06,2.384185791015625e-05
30450.0,1.2287812751310412e-05,6.664001830358757e-06
30750.0,1.2287812751310412e-05,5.9604644775390625e-06
31050.0,1.2287812751310412e-05,1.3328003660717513e-05
31350.0,1.7881393432617188e-05,6.664001830358757e-06
31650.0,1.2287812751310412e-05,5.9604644775390625e-06
31950.0,6.664001830358757e-06,2.9802322387695312e-06
32250.0,1.7881393432617188e-05,2.9802322387695312e-06
32550.0,6.664001830358757e-06,1.7881393432617188e-05
32850.0,1.7881393432617188e-05,1.1920928955078125e-05
33150.0,6.664001830358757e-06,1.2287812751310412e-05
33450.0,1.2287812751310412e-05,5.9604644775390625e-06
33750.0,5.9604644775390625e-06,6.664001830358757e-06
34050.0,1.2287812751310412e-05,1.2287812751310412e-05
34350.0,0.0,8.940696716308594e-06
34650.0,1.2287812751310412e-05,1.1920928955078125e-05
34950.0,1.1920928955078125e-05,1.88486428669421e-05
35250.0,2.9802322387695312e-06,2.9802322387695312e-06
35550.0,5.9604644775390625e-06,6.664001830358757e-06
35850.0,2.9802322387695312e-06,1.2287812751310412e-05
36150.0,1.1920928955078125e-05,2.9802322387695312e-06
36450.0,5.9604644775390625e-06,1.2287812751310412e-05
36750.0,1.2287812751310412e-05,1.81280447577592e-05
37050.0,0.0,2.9802322387695312e-06
37350.0,0.0,1.1920928955078125e-05
37650.0,1.2287812751310412e-05,2.9802322387695312e-06
37950.0,1.3328003660717513e-05,0.0
38250.0,6.664001830358757e-06,6.664001830358757e-06
38550.0,1.2287812751310412e-05,6.664001830358757e-06
38850.0,1.2287812751310412e-05,1.2287812751310412e-05
39150.0,2.4027400286286138e-05,1.1920928955078125e-05
39450.0,1.7881393432617188e-05,1.2287812751310412e-05
39750.0,2.9802322387695312e-06,8.429369700024836e-06
40050.0,1.3328003660717513e-05,1.1920928955078125e-05
40350.0,5.9604644775390625e-06,2.9802322387695312e-06
40650.0,5.9604644775390625e-06,5.9604644775390625e-06
40950.0,5.9604644775390625e-06,1.2287812751310412e-05
41250.0,1.7881393432617188e-05,1.1920928955078125e-05
41550.0,1.1920928955078125e-05,0.0
41850.0,0.0,2.9802322387695312e-06
42150.0,1.2287812751310412e-05,0.0
42450.0,1.2287812751310412e-05,2.9802322387695312e-06
42750.0,5.9604644775390625e-06,1.1920928955078125e-05
43050.0,5.9604644775390625e-06,1.2013700143143069e-05
