Time Step,P Load (No WEC),P Load (With WEC)
-1.0,62.0,62.0
0.0,62.0,62.0
450.0,62.178062438964844,62.178062438964844
750.0,62.031925201416016,62.031925201416016
1050.0,62.50758743286133,62.50758743286133
1350.0,62.1544303894043,62.1544303894043
1650.0,61.98242950439453,61.98242950439453
1950.0,62.24934005737305,62.24934005737305
2250.0,62.11791229248047,62.11791229248047
2550.0,61.90497970581055,61.90497970581055
2850.0,62.105403900146484,62.105403900146484
3150.0,61.7859001159668,61.7859001159668
3450.0,62.17963790893555,62.17963790893555
3750.0,62.530975341796875,62.530975341796875
4050.0,61.983848571777344,61.983848571777344
4350.0,62.271385192871094,62.271385192871094
4650.0,62.1053466796875,62.1053466796875
4950.0,62.16619110107422,62.16619110107422
5250.0,62.47782897949219,62.47782897949219
5550.0,62.352718353271484,62.352718353271484
5850.0,62.22380828857422,62.22380828857422
6150.0,62.46110916137695,62.46110916137695
6450.0,62.44035339355469,62.44035339355469
6750.0,62.43085861206055,62.43085861206055
7050.0,62.203426361083984,62.203426361083984
7350.0,62.596832275390625,62.596832275390625
7650.0,62.80036163330078,62.80036163330078
7950.0,62.57386016845703,62.57386016845703
8250.0,62.87763214111328,62.87763214111328
8550.0,62.693626403808594,62.693626403808594
8850.0,63.06540298461914,63.06540298461914
9150.0,62.79826354980469,62.79826354980469
9450.0,62.64211654663086,62.64211654663086
9750.0,62.900726318359375,62.900726318359375
10050.0,63.02857208251953,63.02857208251953
10350.0,63.19881820678711,63.19881820678711
10650.0,63.228302001953125,63.228302001953125
10950.0,63.34369659423828,63.34369659423828
11250.0,63.21202087402344,63.21202087402344
11550.0,63.32830047607422,63.32830047607422
11850.0,63.45907974243164,63.45907974243164
12150.0,63.32107925415039,63.32107925415039
12450.0,63.475162506103516,63.475162506103516
12750.0,63.45782470703125,63.45782470703125
13050.0,63.8402099609375,63.8402099609375
13350.0,63.62135314941406,63.62135314941406
13650.0,63.758338928222656,63.758338928222656
13950.0,63.835357666015625,63.835357666015625
14250.0,64.06270599365234,64.06270599365234
14550.0,64.14183807373047,64.14183807373047
14850.0,64.04409790039062,64.04409790039062
15150.0,64.26819610595703,64.26819610595703
15450.0,64.2398681640625,64.2398681640625
15750.0,64.31668090820312,64.31668090820312
16050.0,64.21257781982422,64.21257781982422
16350.0,64.52334594726562,64.52334594726562
16650.0,64.69678497314453,64.69678497314453
16950.0,64.62903594970703,64.62903594970703
17250.0,64.88349151611328,64.88349151611328
17550.0,64.57565307617188,64.57565307617188
17850.0,64.77007293701172,64.77007293701172
18150.0,64.74591827392578,64.74591827392578
18450.0,65.16205596923828,65.16205596923828
18750.0,64.93269348144531,64.93269348144531
19050.0,65.14549255371094,65.14549255371094
19350.0,64.9688491821289,64.9688491821289
19650.0,64.89901733398438,64.89901733398438
19950.0,65.24847412109375,65.24847412109375
20250.0,64.923583984375,64.923583984375
20550.0,65.27363586425781,65.27363586425781
20850.0,65.15327453613281,65.15327453613281
21150.0,65.14665222167969,65.14665222167969
21450.0,65.24573516845703,65.24573516845703
21750.0,65.27400970458984,65.27400970458984
22050.0,65.235595703125,65.235595703125
22350.0,65.08251190185547,65.08251190185547
22650.0,64.91478729248047,64.91478729248047
22950.0,64.95243072509766,64.95243072509766
23250.0,65.2070083618164,65.2070083618164
23550.0,65.01634216308594,65.01634216308594
23850.0,65.04953002929688,65.04953002929688
24150.0,64.91392517089844,64.91392517089844
24450.0,64.9705581665039,64.9705581665039
24750.0,64.80931091308594,64.80931091308594
25050.0,64.61164093017578,64.61164093017578
25350.0,64.60517883300781,64.60517883300781
25650.0,64.52635192871094,64.52635192871094
25950.0,64.64886474609375,64.64886474609375
26250.0,64.6027603149414,64.6027603149414
26550.0,64.39004516601562,64.39004516601562
26850.0,64.38787078857422,64.38787078857422
27150.0,64.48352813720703,64.48352813720703
27450.0,64.1724624633789,64.1724624633789
27750.0,64.15650177001953,64.15650177001953
28050.0,64.15538024902344,64.15538024902344
28350.0,64.13691711425781,64.13691711425781
28650.0,64.07109832763672,64.07109832763672
28950.0,63.9906005859375,63.9906005859375
29250.0,63.88835144042969,63.88835144042969
29550.0,63.821800231933594,63.821800231933594
29850.0,63.70466232299805,63.70466232299805
30150.0,63.45317459106445,63.45317459106445
30450.0,63.669864654541016,63.669864654541016
30750.0,63.41419982910156,63.41419982910156
31050.0,63.44195556640625,63.44195556640625
31350.0,63.31316375732422,63.31316375732422
31650.0,63.365787506103516,63.365787506103516
31950.0,63.2772216796875,63.2772216796875
32250.0,63.165550231933594,63.165550231933594
32550.0,63.28542709350586,63.28542709350586
32850.0,62.97478485107422,62.97478485107422
33150.0,62.939910888671875,62.939910888671875
33450.0,62.92985153198242,62.92985153198242
33750.0,63.12649154663086,63.12649154663086
34050.0,62.71249008178711,62.71249008178711
34350.0,62.85783767700195,62.85783767700195
34650.0,62.638916015625,62.638916015625
34950.0,62.52079772949219,62.52079772949219
35250.0,62.69608688354492,62.69608688354492
35550.0,62.369991302490234,62.369991302490234
35850.0,62.380401611328125,62.380401611328125
36150.0,62.438751220703125,62.438751220703125
36450.0,62.44103240966797,62.44103240966797
36750.0,62.324501037597656,62.324501037597656
37050.0,62.38901138305664,62.38901138305664
37350.0,62.18764114379883,62.18764114379883
37650.0,62.195831298828125,62.195831298828125
37950.0,62.251651763916016,62.251651763916016
38250.0,62.10538864135742,62.10538864135742
38550.0,62.358863830566406,62.358863830566406
38850.0,62.20712661743164,62.20712661743164
39150.0,62.31254959106445,62.31254959106445
39450.0,62.06827926635742,62.06827926635742
39750.0,62.08454513549805,62.08454513549805
40050.0,62.23929977416992,62.23929977416992
40350.0,61.935569763183594,61.935569763183594
40650.0,62.26695251464844,62.26695251464844
40950.0,62.17364501953125,62.17364501953125
41250.0,62.087154388427734,62.087154388427734
41550.0,62.33264923095703,62.33264923095703
41850.0,62.31172180175781,62.31172180175781
42150.0,62.129573822021484,62.129573822021484
42450.0,62.27253723144531,62.27253723144531
42750.0,62.094085693359375,62.094085693359375
43050.0,62.01436996459961,62.01436996459961
