GEN_ID,BUS_ID,GEN_ID,Pg,Qg,MBASE,STATUS,MISMATCH,PERCENT,time_s
3,13,1 ,200.0,0.0,100.0,1,6.664001830358757e-06,200.0,1500.0
4,14,1 ,0.0,0.0,100.0,1,1.1920928955078125e-05,0.0,1500.0
5,15,1 ,274.0,0.0,100.0,1,5.9604644775390625e-06,274.0,1500.0
6,16,1 ,245.0,0.0,100.0,1,2.107342515955679e-05,245.0,1500.0
7,18,1 ,144.0,0.0,100.0,1,7.450580596923828e-07,144.0,1500.0
8,21,1 ,294.0,0.0,100.0,1,5.9604644775390625e-06,294.0,1500.0
9,22,1 ,150.0,126.76020812988281,100.0,1,5.9604644775390625e-06,196.38775634765625,1500.0
10,23,1 ,200.0,0.0,100.0,1,1.4901161193847656e-06,200.0,1500.0
11,25,G1,0.014057846739888191,11.099373817443848,1.0,1,0.0,1109.938232421875,1500.0
0,1,1 ,27.106428146362305,64.79214477539062,100.0,1,3.3320009151793784e-06,70.23375701904297,1800.0
1,2,1 ,67.0,0.0,100.0,1,8.429369700024836e-06,67.0,1800.0
2,7,1 ,64.0,0.0,100.0,1,4.6566128730773926e-08,64.0,1800.0
3,13,1 ,200.0,0.0,100.0,1,6.143906375655206e-06,200.0,1800.0
4,14,1 ,0.0,0.0,100.0,1,1.1920928955078125e-05,0.0,1800.0
5,15,1 ,274.0,0.0,100.0,1,2.4027400286286138e-05,274.0,1800.0
6,16,1 ,245.0,0.0,100.0,1,6.06433331995504e-06,245.0,1800.0
7,18,1 ,144.0,0.0,100.0,1,1.1175870895385742e-06,144.0,1800.0
8,21,1 ,294.0,0.0,100.0,1,5.9604644775390625e-06,294.0,1800.0
9,22,1 ,150.0,127.0516128540039,100.0,1,5.9604644775390625e-06,196.5759735107422,1800.0
10,23,1 ,200.0,0.0,100.0,1,6.143906375655206e-06,200.0,1800.0
11,25,G1,0.01780524104833603,11.14846420288086,1.0,1,0.0,1114.8477783203125,1800.0
