Generator,p,q,time_s
G2-RM3-60,0.017691213124531476,0.0,1200.0
G3-RM3-60,0.017691213124531476,0.0,1200.0
G4-RM3-60,0.017691213124531476,0.0,1200.0
G5-RM3-60,0.017691213124531476,0.0,1200.0
G6-RM3-60,0.017691213124531476,0.0,1200.0
G7-RM3-60,0.017691213124531476,0.0,1200.0
G8-RM3-60,0.017691213124531476,0.0,1200.0
G0,15.988575669014494,-112.85015100586108,1500.0
G1,67.0,56.83959511063461,1500.0
G2,64.0,41.82450895155772,1500.0
G3,200.0,49.80827653881052,1500.0
G4,0.0,68.63974233848913,1500.0
G5,274.0,72.51801867087613,1500.0
G6,245.0,33.92528143055434,1500.0
G7,144.0,36.90816596005973,1500.0
G8,294.0,-52.66140827878296,1500.0
G9,150.0,-29.50716135388282,1500.0
G10,200.0,-6.098257479519482,1500.0
G1-RM3-60,0.014057846583247297,-0.03748752939705619,1500.0
G2-RM3-60,0.014057846583247297,0.0,1500.0
G3-RM3-60,0.014057846583247297,0.0,1500.0
G4-RM3-60,0.014057846583247297,0.0,1500.0
G5-RM3-60,0.014057846583247297,0.0,1500.0
G6-RM3-60,0.014057846583247297,0.0,1500.0
G7-RM3-60,0.014057846583247297,0.0,1500.0
G8-RM3-60,0.014057846583247297,0.0,1500.0
G0,16.007979065478537,-112.73100335358637,1800.0
G1,67.0,56.95631768500676,1800.0
G2,64.0,41.85901868936011,1800.0
G3,200.0,50.12423025399842,1800.0
G4,0.0,68.89521268628964,1800.0
G5,274.0,72.71819169218443,1800.0
G6,245.0,33.98053788006331,1800.0
G7,144.0,36.85390656259529,1800.0
G8,294.0,-52.65910071504345,1800.0
G9,150.0,-29.502652583090537,1800.0
G10,200.0,-5.9902912975499305,1800.0
G1-RM3-60,0.017805241566785993,-0.047480545534303836,1800.0
G2-RM3-60,0.017805241566785993,0.0,1800.0
G3-RM3-60,0.017805241566785993,0.0,1800.0
G4-RM3-60,0.017805241566785993,0.0,1800.0
G5-RM3-60,0.017805241566785993,0.0,1800.0
G6-RM3-60,0.017805241566785993,0.0,1800.0
G7-RM3-60,0.017805241566785993,0.0,1800.0
G8-RM3-60,0.017805241566785993,0.0,1800.0
G0,16.243474189650044,-112.95045915701016,2100.0
G1,67.0,57.02421258253371,2100.0
G2,64.0,41.84729509293592,2100.0
G3,200.0,50.025575368500995,2100.0
G4,0.0,68.78750152081776,2100.0
G5,274.0,72.57826463757878,2100.0
G6,245.0,33.937490647347595,2100.0
G7,144.0,36.920758281211775,2100.0
G8,294.0,-52.66383909115521,2100.0
G9,150.0,-29.50524348837604,2100.0
G10,200.0,-6.026008578430492,2100.0
G1-RM3-60,0.01652446607677622,-0.04406515790558974,2100.0
G2-RM3-60,0.01652446607677622,0.0,2100.0
