BUS_ID,BUS_ID,BUS_TYPE,Pd,Qd,Pg,Qg,P,Q,V_PU,V_KV,BASE_KV,ANGLE_DEG,ANGLE_RAD,MISMATCH,time_s
0,1,3,0.0,0.0,24.709678649902344,65.37609100341797,24.709678649902344,65.37609100341797,1.0,138.0,138.0,0.0,0.0,2.9802322387695312e-06,0.0
1,2,2,97.0,20.0,67.0,0.0,-30.0,-20.0,0.9985697865486145,137.80262756347656,138.0,-0.006518753711134195,-0.00011377367627574131,5.9604644775390625e-06,0.0
2,3,1,90.0,19.0,0.0,0.0,-90.0,-19.0,0.908059298992157,125.31217956542969,138.0,9.322609901428223,0.16271017491817474,5.9604644775390625e-06,0.0
3,4,1,74.0,15.000000953674316,0.0,0.0,-74.0,-15.000000953674316,0.9250667691230774,127.65921783447266,138.0,-0.6756808161735535,-0.01179285068064928,3.3320009151793784e-06,0.0
4,5,1,71.0,14.0,0.0,0.0,-71.0,-14.0,0.9588682651519775,132.32382202148438,138.0,-0.503818929195404,-0.008793296292424202,3.3320009151793784e-06,0.0
5,6,1,68.0,14.0,0.0,0.0,-68.0,-14.0,0.9644222259521484,133.09027099609375,138.0,-0.04871150478720665,-0.0008501758566126227,3.071953187827603e-06,0.0
6,7,2,62.0,13.0,64.0,0.0,2.0,-13.0,1.0,138.0,138.0,-2.7042858600616455,-0.04719867557287216,1.1920928955078125e-05,0.0
7,8,1,85.0,18.0,0.0,0.0,-85.0,-18.0,0.9528175592422485,219.14804077148438,230.0,-2.0314249992370605,-0.035455044358968735,1.862645149230957e-07,0.0
8,9,1,175.0,36.0,0.0,0.0,-175.0,-36.0,0.9019123315811157,124.46389770507812,138.0,3.9027488231658936,0.06811579316854477,6.664001830358757e-06,0.0
9,10,1,100.0,23.0,0.0,0.0,-100.0,-23.0,0.944624125957489,130.35812377929688,138.0,2.7558422088623047,0.04809850454330444,1.0848209058167413e-05,0.0
10,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.8974921107292175,206.42318725585938,230.0,10.614805221557617,0.1852632313966751,1.2287812751310412e-05,0.0
11,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9033422470092773,207.7687225341797,230.0,9.841314315795898,0.17176328599452972,2.9802322387695312e-06,0.0
12,13,2,130.0,27.000001907348633,200.0,0.0,70.0,-27.000001907348633,0.8988478779792786,206.73501586914062,230.0,13.067584991455078,0.22807230055332184,0.0,0.0
13,14,2,92.0,20.0,0.0,0.0,-92.0,-20.0,0.8906792402267456,204.85623168945312,230.0,16.109386444091797,0.28116172552108765,0.0,0.0
14,15,2,158.0,32.0,274.0,0.0,116.0,-32.0,0.9191145300865173,211.39634704589844,230.0,29.530115127563477,0.5153975486755371,0.0,0.0
15,16,2,100.0,20.0,245.0,0.0,145.0,-20.0,0.9068902134895325,208.58474731445312,230.0,23.67455291748047,0.4131987690925598,8.971686838776805e-06,0.0
16,17,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9285426735877991,213.5648193359375,230.0,28.37709617614746,0.4952735900878906,0.0,0.0
17,18,2,162.0,34.0,144.0,0.0,-18.0,-34.0,0.9315199851989746,214.24960327148438,230.0,30.135761260986328,0.525968074798584,1.30385160446167e-06,0.0
18,19,1,90.0,18.0,0.0,0.0,-90.0,-18.0,0.9018504619598389,207.42559814453125,230.0,20.641124725341797,0.36025547981262207,7.450580596923828e-07,0.0
19,20,1,65.0,13.0,0.0,0.0,-65.0,-13.0,0.9032905697822571,207.7568359375,230.0,19.25729751586914,0.3361031413078308,0.0,0.0
20,21,2,0.0,0.0,294.0,0.0,294.0,0.0,0.9393599629402161,216.0527801513672,230.0,31.825714111328125,0.5554633140563965,2.4575625502620824e-05,0.0
21,22,2,0.0,0.0,150.0,127.09471893310547,150.0,127.09471893310547,1.0,230.0,230.0,33.83811950683594,0.5905863642692566,0.0,0.0
22,23,2,0.0,0.0,200.0,0.0,200.0,0.0,0.9055476188659668,208.2759552001953,230.0,18.995084762573242,0.33152666687965393,6.143906375655206e-06,0.0
23,24,1,0.0,0.0,0.0,0.0,0.0,0.0,0.8957902789115906,206.03176879882812,230.0,21.889196395874023,0.382038414478302,3.725290298461914e-07,0.0
